"State_arrived","state_departed","movement_estimate","movement_moe"
"Connecticut","Puerto Rico",4280,2751
"Delaware","Alabama",0,203
"Delaware","Alaska",294,492
"Delaware","Arizona",0,203
"Delaware","Arkansas",0,203
"Delaware","California",161,179
"Delaware","Colorado",530,310
"Delaware","Connecticut",415,308
"Delaware","Delaware",NA,NA
"Delaware","District of Columbia",442,375
"Delaware","Florida",939,557
"Delaware","Georgia",344,448
"Delaware","Hawaii",0,203
"Delaware","Idaho",0,203
"Delaware","Illinois",562,649
"Delaware","Indiana",0,203
"Delaware","Iowa",0,203
"Delaware","Kansas",189,304
"Delaware","Kentucky",0,203
"Delaware","Louisiana",41,100
"Delaware","Maine",0,203
"Delaware","Maryland",8646,2537
"Delaware","Massachusetts",548,419
"Delaware","Michigan",0,203
"Delaware","Minnesota",0,203
"Delaware","Mississippi",26,59
"Delaware","Missouri",37,63
"Delaware","Montana",29,76
"Delaware","Nebraska",262,314
"Delaware","Nevada",149,163
"Delaware","New Hampshire",78,136
"Delaware","New Jersey",6955,2307
"Delaware","New Mexico",177,293
"Delaware","New York",3044,1401
"Delaware","North Carolina",1167,868
"Delaware","North Dakota",0,203
"Delaware","Ohio",34,51
"Delaware","Oklahoma",1025,1293
"Delaware","Oregon",0,203
"Delaware","Pennsylvania",8902,2461
"Delaware","Rhode Island",258,421
"Delaware","South Carolina",8,15
"Delaware","South Dakota",0,203
"Delaware","Tennessee",409,343
"Delaware","Texas",744,705
"Delaware","Utah",75,118
"Delaware","Vermont",0,203
"Delaware","Virginia",1260,989
"Delaware","Washington",45,77
"Delaware","West Virginia",219,220
"Delaware","Wisconsin",0,203
"Delaware","Wyoming",0,203
"Delaware","Puerto Rico",0,203
"District of Columbia","Alabama",462,448
"District of Columbia","Alaska",338,584
"District of Columbia","Arizona",291,306
"District of Columbia","Arkansas",0,218
"District of Columbia","California",3437,1090
"District of Columbia","Colorado",870,570
"District of Columbia","Connecticut",1298,587
"District of Columbia","Delaware",0,218
"District of Columbia","District of Columbia",NA,NA
"District of Columbia","Florida",1496,680
"District of Columbia","Georgia",1190,617
"District of Columbia","Hawaii",0,218
"District of Columbia","Idaho",28,41
"District of Columbia","Illinois",1361,764
"District of Columbia","Indiana",427,302
"District of Columbia","Iowa",59,68
"District of Columbia","Kansas",41,70
"District of Columbia","Kentucky",131,135
"District of Columbia","Louisiana",452,329
"District of Columbia","Maine",448,440
"District of Columbia","Maryland",15499,3042
"District of Columbia","Massachusetts",2383,750
"District of Columbia","Michigan",758,430
"District of Columbia","Minnesota",278,212
"District of Columbia","Mississippi",265,277
"District of Columbia","Missouri",976,588
"District of Columbia","Montana",4,9
"District of Columbia","Nebraska",49,112
"District of Columbia","Nevada",0,218
"District of Columbia","New Hampshire",49,81
"District of Columbia","New Jersey",2758,1194
